Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MO,2016,"9         ",Male,15,Right-Handed,166,24,168,1,Car,5,.317,45,Baseball/Softball,5,4,7,8,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2018,"11        ",Male,16,Right-Handed,183,29,184.5,2,Car,2,.442,64,Baseball/Softball,850,800,900,400,500,1000,29,"Same length",80,70,"Index finger",May,Summer,No,No,Meat,Tea,"Physical education",,,2,"Yes - broadband connection","Text messaging",5,5,100,100,50,30,130,168,58,30,168,0,0,30,None,"High school","Rap/Hip hop",Telepathy,Happy,"Sports person",Health
USA,MO,2016,"9         ",Male,15,Left-Handed,151,21,149,1,Bus,15,.336,50,Other,556,690,642,952,283,727,21,"Same length",8,8,"Same length",April,Summer,Yes,No,Meat,Other,"Physical education",10,8,4,"No internet connection","Cell phone",0,0,10,0,1,3,1,1,1,2,2,8,0,2,Some,"High school","Rock and roll",Fly,Healthy,Actor,Health
USA,MO,2015,"12        ",Male,17,Right-Handed,195,33,190,1,Car,5,.694,41,"Football (American)",,,,,,,,"Same length",,,"Ring finger",September,Fall,No,No,,,Other,,,,,"Cell phone",,,,,,,,,,,,,,,None,"Graduate degree",Country,"Super strength",Rich,,Other
USA,MO,2011,"12        ",Male,17,Right-Handed,183,28,183,1,Car,10,.281,31,Other,750,750,750,,800,900,28,"Same length",80,80,"Index finger",October,Winter,Yes,No,Meat,"Soft drink (caffeinated)","Mathematics and statistics",8,6,4,"Yes - broadband connection","Text messaging",150,200,15,2,5,10,20,30,10,20,35,20,10,2,"A lot","Graduate degree",Country,Invisibility,Happy,Relative,"Arts, culture, sports"
USA,MO,2015,"12        ",Male,17,Right-Handed,138,25,175,1,Car,"5 ",.758,41,Soccer,600,700,200,200,400,1000,26,"Left foot",70,70,"Same length",June,Summer,No,No,Desserts,Water,"Mathematics and statistics",7,9,5,"Yes - broadband connection","Text messaging",36,28,8,1,4,2,9,4,0,0,2,0,0,2,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,"Sports person","Education/Youth development"
USA,MO,2018,"11        ",Male,17,Right-Handed,189,30,187,2,Bicycle,4,0.363,45,Athletics,200,200,300,150,200,150,30,"Same length",68,84,"Ring finger",October,Fall,Yes,No,Breads/Sandwiches,Water,Art,8,8,4,"Yes - broadband connection","Text messaging",75,100,4,3,16,2,10,4,1,20,7,0,0,0,"Very little","Graduate degree",Other,Fly,Happy,Friend,"Education/Youth development"
USA,MO,2017,"12        ",Male,17,Right-Handed,93,29,102,2,Walk,10,0.353,45,Basketball,700,600,100,500,400,800,29,"Same length",100,100,"Same length",November,Winter,No,No,Seafood,Milk,Science,9,8,6,"Yes - dial-up connection","Cell phone",800,1300,5,9,2,35,60,5,6,6,6,20,5,10,"Very little","Graduate degree","Rap/Hip hop","Super strength",Happy,"Sports person","Wildlife, animals"
USA,MO,2017,"6         ",Male,12,Right-Handed,166,24,157,1,Bus,54,0.339,48,Swimming,1000,890,980,970,15,115,24.5,"Same length",78,65,"Ring finger",September,Summer,No,No,Meat,Water,"Mathematics and statistics",7.5,10,5,"Yes - broadband connection","Internet chat or instant messaging",0,0,10,1,0,19,3,8,0.5,7,20,2,0,2,"A lot","Undergraduate degree","Rock and roll","Freeze time",Rich,Relative,Health
USA,MO,2020,"11        ",Male,17,Right-Handed,183,25,184,1,Car,5,0.33,28,Basketball,0,0,0,0,1000,1000,26,"Left foot",93,86,"Index finger",September,Summer,Yes,No,Desserts,"Sports drink","Physical education",7,6,5,"Yes - other","In person",0,0,20,0,5,10,10,10,20,0,30,5,0,0,Some,"Some college","Rap/Hip hop",Invisibility,Happy,"Sports person","Wildlife, animals"
